Province_State,Confirmed,Deaths,Recovered,Active,Lat,Long_
Andaman and Nicobar Islands,4959,62,4873,24,11.225999,92.968178
Andhra Pradesh,884689,7128,874954,2607,15.9129,79.74
Arunachal Pradesh,16767,56,16647,64,27.768456,96.384277
Assam,216565,1060,212486,3019,26.357149,92.830441
Bihar,255386,1430,249709,4247,25.679658,85.60484
Chandigarh,20251,327,19696,228,30.733839,76.768278
Chhattisgarh,288570,3484,275812,9274,21.264705,82.035366
Dadra and Nagar Haveli and Daman and Diu,3380,2,3374,4,20.194742,73.080901
Delhi,629801,10666,615452,3683,28.646519,77.10898
Goa,51790,746,50177,867,15.359682,74.057396
Gujarat,251273,4340,238965,7968,22.694884,71.590923
Haryana,264721,2949,259209,2563,29.20004,76.332824
Himachal Pradesh,56366,958,54320,1088,31.927213,77.233081
Jammu and Kashmir,122425,1909,118422,2094,33.75943,76.612638
Jharkhand,116672,1045,114133,1494,23.654536,85.557631
Karnataka,926767,12138,905158,9471,14.70518,76.166436
Kerala,806603,3279,738808,64516,10.450898,76.405749
Ladakh,9608,127,9278,203,34.1526,77.5771
Lakshadweep,0,0,0,0,13.6999972,72.1833326
Madhya Pradesh,247977,3701,236247,8029,23.541513,78.289633
Maharashtra,1965556,50027,1861400,54129,19.449759,76.108221
Manipur,28646,365,27766,515,24.738975,93.882541
Meghalaya,13592,143,13286,163,25.536934,91.278882
Mizoram,4292,8,4186,98,23.309381,92.83822
Nagaland,11975,84,11778,113,26.06702,94.470302
Odisha,331602,1891,327803,1908,20.505428,84.418059
Puducherry,38425,636,37461,328,11.882658,78.86498
Punjab,168734,5439,160343,2952,30.841465,75.40879
Rajasthan,312521,2731,303060,6730,26.583423,73.847973
Sikkim,5984,129,5486,369,27.571671,88.472712
Tamil Nadu,825537,12215,806018,7304,11.006091,78.400624
Telangana,289784,1565,283463,4756,18.1124,79.0193
Tripura,33307,388,32862,57,23.746783,91.743565
Uttar Pradesh,592475,8481,572773,11221,26.925425,80.560982
Uttarakhand,93398,1568,88615,3215,30.156447,79.197608
West Bengal,559886,9922,541930,8034,23.814082,87.979803
